metric,Estimate,Std. Error
log_R.62,13.517442150784296,0.027987653596412452
log_R.63,13.517442150784296,0.027987653596412452
log_R.64,13.517442150784296,0.027987653596412452
log_R.65,13.517442150784296,0.027987653596412452
log_R.66,13.517442150784296,0.027987653596412452
log_R.67,13.517442150784296,0.027987653596412452
log_R.68,13.517442150784296,0.027987653596412452
log_R.69,13.517442150784296,0.027987653596412452
log_R.70,13.517442150784296,0.027987653596412452
log_R.71,13.517442150784296,0.027987653596412452
log_R.72,13.517442150784296,0.027987653596412452
log_R.73,13.517442150784296,0.027987653596412452
R_sd,0.2810464570825095,0.05312232006704912
R,706214.2009764398,197867.3082389388
R.1,705711.9398584258,197304.76078212456
R.2,704981.0984860708,196293.9080988218
R.3,712132.3948155057,197585.31120728696
R.4,720416.0838824663,198941.2700437263
R.5,729631.71799176,199978.45198405033
R.6,733904.085444078,199294.66731124054
R.7,738186.1239707606,198219.2211342021
R.8,789276.1192837983,207872.70397783435
R.9,784776.0716611481,203680.64194978093
R.10,831475.8581325137,211387.00352980325
R.11,873262.6359072579,217552.04028744146
R.12,799527.2492197773,195256.358609283
R.13,758447.4368397647,183157.76461692862
R.14,840818.0143767707,197085.16349765158
R.15,823209.4725786087,191891.54125878357
R.16,725603.7621803374,169799.76953848678
R.17,713500.7307870446,165257.71796747466
R.18,783794.2151758521,175233.0478796143
R.19,743550.554795462,168913.74934139661
R.20,825568.5858817212,185594.704092619
R.21,954563.514302336,211272.50268620733
R.22,992349.2936188112,224109.08164978964
R.23,1370102.0374029155,291369.36387007
R.24,849554.5518725717,190425.33141652073
R.25,781082.8417482962,169835.04675612182
R.26,759348.0472166786,162704.51248871197
R.27,750632.2321203111,160246.39485592267
R.28,778542.9163257575,162148.50666598856
R.29,766260.5897887651,154554.00265075557
R.30,606450.1594228096,127733.60573230905
R.31,594460.4603299911,118970.90389856356
R.32,490879.7378871061,104074.49683981233
R.33,455962.4675003041,98792.94418268981
R.34,524629.0384124615,104687.28041986529
R.35,569431.2508739028,111567.62392734109
R.36,651707.6860971411,121122.04084368232
R.37,578721.2256269167,114685.49148478787
R.38,602287.2267031651,121246.83148997
R.39,695964.7158898801,140386.02681860328
R.40,825639.568546771,169122.9826740522
R.41,888582.1008545164,187193.14143975603
R.42,801537.6402550716,176282.65053511172
R.43,708221.2618659398,162263.38720618855
R.44,662350.6497169959,158365.4524778722
R.45,639996.9312424209,160725.36120652937
R.46,670378.2959811197,174361.55817301048
R.47,693764.2552056935,188921.9483032432
R.48,690678.593122256,194276.2977073249
R.49,714460.4949837206,203984.0418660761
R.50,742250.5627432037,20773.851631798992
R.51,742250.5627432037,20773.851631798992
R.52,742250.5627432037,20773.851631798992
R.53,742250.5627432037,20773.851631798992
R.54,742250.5627432037,20773.851631798992
R.55,742250.5627432037,20773.851631798992
R.56,742250.5627432037,20773.851631798992
R.57,742250.5627432037,20773.851631798992
R.58,742250.5627432037,20773.851631798992
R.59,742250.5627432037,20773.851631798992
R.60,742250.5627432037,20773.851631798992
R.61,742250.5627432037,20773.851631798992
R.62,742250.5627432037,20773.851631798992
R.63,742250.5627432037,20773.851631798992
R.64,742250.5627432037,20773.851631798992
R.65,742250.5627432037,20773.851631798992
R.66,742250.5627432037,20773.851631798992
R.67,742250.5627432037,20773.851631798992
R.68,742250.5627432037,20773.851631798992
R.69,742250.5627432037,20773.851631798992
R.70,742250.5627432037,20773.851631798992
R.71,742250.5627432037,20773.851631798992
R.72,742250.5627432037,20773.851631798992
R.73,742250.5627432037,20773.851631798992
log_index_hat,14.270570817637084,0.04077884657338028
log_index_hat.1,14.261915625045502,0.03683261001035683
log_index_hat.2,14.251875003271335,0.03634884589165856
log_index_hat.3,14.267024088151874,0.035858009945044775
log_index_hat.4,14.318676600946601,0.03525457925113014
log_index_hat.5,14.338435488956321,0.03497492320118503
log_index_hat.6,14.328302237794162,0.034320989364189015
log_index_hat.7,14.298710863857512,0.033773076509288416
log_index_hat.8,14.244883238333658,0.03238198820265649
log_index_hat.9,14.163920229356586,0.031260415764488375
log_index_hat.10,14.083201164092952,0.031443008183568454
log_index_hat.11,14.03888930469173,0.03240834081835963
log_index_hat.12,14.02002026326878,0.03379126981628248
log_index_hat.13,14.046826667913324,0.03569119892740037
log_index_hat.14,14.089808269133954,0.041041671133242794
log_index_hat.15,14.10477168325532,0.048510232679324736
