
Initial statistics: 47 variables; iteration 0; function evaluation 0; phase 1
Function value 2.0676192e+06; maximum gradient component mag -1.5286e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.49593  1.54111e+03 |  2  0.83478 -7.38258e+02 |  3 -0.30136  2.20521e+02
  4  0.53897 -3.98517e+02 |  5 20.42910  5.81189e+03 |  6  0.01077  1.45908e+03
  7 -0.27063 -1.31658e+03 |  8 -0.41691 -1.25718e+03 |  9 -0.04726 -9.84902e+02
 10 -0.24566 -1.31392e+03 | 11  0.12275  1.12376e+04 | 12  0.12329  1.14332e+04
 13  0.10617  8.10235e+03 | 14  0.02536  3.03416e+02 | 15 -0.01291 -6.00443e+02
 16  0.01403 -1.05701e+02 | 17  0.06967  2.84053e+03 | 18  0.09119  5.97197e+03
 19  0.01540  2.38135e+02 | 20 -0.01061 -2.32353e+02 | 21 -0.06245 -9.08187e+02
 22 -0.02116 -1.90925e+02 | 23 -0.01408  6.45016e+01 | 24  0.00112  6.56396e+02
 25  0.02452  1.89997e+03 | 26  0.03442  2.37874e+03 | 27  0.03516  2.11088e+03
 28  0.10648  1.28728e+04 | 29  0.08979  5.64541e+03 | 30  0.06841  1.20908e+03
 31  0.16039  8.82519e+03 | 32  0.15078 -1.63497e+02 | 33 -0.03923 -1.46794e+03
 34  0.10277 -4.82027e+03 | 35  0.09593 -4.77976e+03 | 36  0.07969 -3.73669e+03
 37  0.09104 -4.16301e+03 | 38  0.00165 -1.63353e+03 | 39  0.22629 -3.23467e+04
 40  0.15328 -1.56758e+03 | 41 -0.08868 -1.42991e+03 | 42  0.13436  4.33942e+03
 43  0.12083  4.86954e+03 | 44  0.12406  6.64233e+03 | 45  0.08643  2.49227e+03
 46  0.09091  2.94490e+03 | 47  0.09756  4.29204e+03 | 48  0.13902  1.39689e+04
 49 -0.01608 -1.14264e+03 | 50  0.09803  5.55478e+03 | 51  0.05409  1.17331e+03
 52  0.03288  2.25068e+02 | 53  0.02376 -1.14925e+02 | 54 -0.01840 -9.27457e+02
 55  0.03188  4.35034e+02 | 56  0.04557  1.27344e+03 | 57  0.01489 -1.55766e+02
 58 -0.07197 -1.23217e+03 | 59 -0.03276 -9.52491e+02 | 60  0.00782 -3.23403e+02
 61  0.01372 -1.62357e+02 | 62  0.00334 -4.29356e+02 | 63 -0.07363 -1.27186e+03
 64  0.02476  2.80926e+02 | 65  0.12523  1.40522e+04 | 66 -0.56471 -1.07596e+03
 67 -0.00857 -7.83737e+02 | 68 -1.79464  1.30649e+03 | 69 -1.71880  1.31658e+03
 70 -0.59227 -1.02866e+03 | 71 -6.92984 -2.42792e+02 | 72  0.24800 -1.16121e+03
 73  0.24603  2.39897e+03 | 74  0.22680  3.95803e+03 | 75  0.21480  5.51486e+03
 76  0.18349  3.17797e+03 | 77  0.05454  3.63717e+03 | 78  0.06810  4.91703e+03
 79 -0.03276  4.74233e+03 | 80 -0.17583  1.79229e+03 | 81 -0.23158  1.58780e+03
 82 -0.03337  6.43424e+01 | 83 -0.03185 -8.43197e+02 | 84 -0.13484 -3.55878e+02
 85 -0.05130 -9.03272e+03 | 86  0.06909 -6.22075e+03 | 87  0.09571 -8.46402e+03
 88  0.05780 -8.66377e+03 | 89  0.06977 -7.29824e+03 | 90  0.02045 -5.22028e+03
 91  0.06022 -8.57135e+02 | 92 -0.00629 -4.57841e+03 | 93 -0.01683  1.78806e+03
 94  0.03341  1.22097e+03 | 95  0.10449 -1.83509e+01 | 96  0.08840  2.51744e+03
 97  0.10525  9.09461e+02 | 98  0.16196 -1.63100e+03 | 99  0.05860 -2.82052e+03
100  0.10262 -1.67384e+03 |101  0.16949 -1.04556e+03 |102  0.17797 -1.09617e+03
103  0.17757 -5.14462e+02 |104  0.16619 -4.17128e+02 |105  0.18141  1.53009e+03
106  0.23338  4.64796e+02 |107  0.18878  1.23781e+03 |108  0.20814  6.25627e+02
109  0.31895  2.88427e+03 |110  0.22551 -1.20816e+03 |111  0.24231  2.01946e+03
112  0.30031  1.15763e+03 |113  0.25934  1.36561e+03 |114  0.31577  2.76479e+03
115  0.30496  3.66800e+03 |116  0.19769  5.58616e+03 |117  0.70146  3.73631e+01
118  0.12084 -1.02735e+02 |119 -0.31742 -3.82581e+02 |120 -0.25270 -2.50034e+02
121 -0.02793 -2.93064e+02 |122  0.18980 -1.92071e+02 |123  0.13578 -2.71927e+02
124  0.32631 -5.35377e+02 |125  0.10897 -2.89055e+02 |126 -0.14124 -2.18399e+02
127 -0.35168 -1.95430e+02 |128 -0.48202 -6.16754e+01 |129 -0.47962 -5.59885e+01
130 -0.35918 -1.32729e+02 |131 -0.02245 -1.60246e+02 |132  0.12058  1.06620e+02
133  0.02612  1.52212e+02 |134 -0.00111  1.29021e+02 |135  0.70527  2.71621e+03
136 -0.35543  1.70752e+01 |137 -0.13310  7.62715e+00 |138  0.18249 -7.57393e+01
139  0.22414 -1.66558e+02 |140  0.22819 -1.08823e+02 |141  0.22219  6.96085e+00
142  0.14629 -3.67119e+01 |143  0.11849 -5.86280e+01 |144  0.04505 -9.53584e+00
145 -0.02219  1.42229e+00 |146 -0.06398  9.07817e+00 |147 -0.08283  3.73176e+01
148 -0.07935  3.52155e+01 |149 -0.06708  2.85824e+01 |150 -0.04908  3.56917e+01
151 -0.04764  4.72702e+01 |152 -0.05480  4.81288e+01 |153 -0.07053  7.30952e+01
154 -0.14084  1.08553e+02 |
154 variables; iteration 100; function evaluation 131; phase 4
Function value 9.8032155e+03; maximum gradient component mag -3.4500e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.51746  1.33646e+03 |  2  0.84318 -7.01855e+02 |  3 -0.30146  3.00208e+02
  4  0.57983 -3.08352e+02 |  5 20.42825  4.91070e+03 |  6  0.01479  2.45697e+03
  7 -0.38528 -8.83103e+02 |  8 -0.35020 -8.87487e+02 |  9 -0.04930 -5.20252e+02
 10 -0.26231 -8.73414e+02 | 11  0.12552  1.21738e+04 | 12  0.12939  1.29965e+04
 13  0.10984  8.89923e+03 | 14  0.02215  5.82964e+02 | 15 -0.02355 -3.03713e+02
 16  0.00598  6.72060e+01 | 17  0.07486  3.43417e+03 | 18  0.10241  8.56299e+03
 19  0.01199  7.38261e+02 | 20 -0.01591  2.36881e+02 | 21 -0.07578 -4.95346e+02
 22 -0.01780  4.94210e+02 | 23 -0.01735  5.05220e+02 | 24  0.00293  1.30161e+03
 25  0.01907  1.98247e+03 | 26  0.02786  2.17314e+03 | 27  0.03365  2.09897e+03
 28  0.10639  1.15766e+04 | 29  0.08893  5.03335e+03 | 30  0.05822  7.96975e+02
 31  0.16297  8.20760e+03 | 32  0.14951 -1.10371e+03 | 33 -0.03727 -9.84895e+02
 34  0.09963 -3.99539e+03 | 35  0.09304 -3.94540e+03 | 36  0.07435 -2.81708e+03
 37  0.08776 -3.21861e+03 | 38 -0.00631 -1.08824e+03 | 39  0.22937 -3.44996e+04
 40  0.14592 -4.82758e+02 | 41 -0.09820 -9.59183e+02 | 42  0.13178  4.85430e+03
 43  0.12022  5.27491e+03 | 44  0.12335  6.03954e+03 | 45  0.08003  1.92572e+03
 46  0.08634  2.21993e+03 | 47  0.09485  3.17793e+03 | 48  0.13886  1.07860e+04
 49 -0.02806 -8.61060e+02 | 50  0.08672  3.08552e+03 | 51  0.04711  6.83637e+02
 52  0.01221 -1.80632e+02 | 53  0.01228 -1.82391e+02 | 54 -0.01265 -4.99045e+02
 55  0.03257  5.30876e+02 | 56  0.04253  1.00772e+03 | 57  0.00445 -2.43606e+02
 58 -0.06843 -7.89230e+02 | 59 -0.02062 -4.83553e+02 | 60  0.01507  7.11709e+01
 61  0.00168 -1.51889e+02 | 62 -0.00747 -2.50085e+02 | 63 -0.09468 -8.78687e+02
 64  0.01012  2.92042e+02 | 65  0.12499  1.51141e+04 | 66 -0.49676 -8.32499e+02
 67 -0.05175 -6.30841e+02 | 68 -1.87594  7.74194e+02 | 69 -1.83422  8.19188e+02
 70 -0.41784 -8.73920e+02 | 71 -6.93362 -1.03807e+03 | 72  0.24045  6.60555e+02
 73  0.23980  3.05562e+03 | 74  0.22433  4.58072e+03 | 75  0.21574  6.32630e+03
 76  0.18077  1.23486e+03 | 77  0.05194  2.34468e+03 | 78  0.06589  3.94843e+03
 79 -0.03628  4.38437e+03 | 80 -0.18267  7.24415e+02 | 81 -0.24435  7.76565e+02
 82 -0.04522 -4.13999e+02 | 83 -0.03357  9.44370e+02 | 84 -0.13874  2.12124e+03
 85 -0.05958 -1.17677e+04 | 86  0.07268 -6.84553e+03 | 87  0.10061 -6.99848e+03
 88  0.06027 -5.38085e+03 | 89  0.06326 -4.32164e+03 | 90  0.01029 -5.51309e+03
 91  0.05731 -2.15192e+02 | 92 -0.01946 -4.03030e+03 | 93 -0.02757  5.99106e+02
 94  0.03989  3.71253e+03 | 95  0.11353  6.24849e+02 | 96  0.10241  4.11475e+03
 97  0.11871  5.18478e+02 | 98  0.17488 -1.86592e+03 | 99  0.06463 -2.84685e+03
100  0.10955 -2.38590e+03 |101  0.17439 -1.30427e+03 |102  0.18266 -1.07362e+03
103  0.18540 -6.75473e+02 |104  0.17559 -7.68680e+02 |105  0.18862  1.28360e+02
106  0.24315 -2.24871e+02 |107  0.19965  1.44465e+03 |108  0.21692  1.26183e+02
109  0.32881  2.39148e+03 |110  0.23501 -1.59997e+03 |111  0.25155  7.25203e+02
112  0.31096 -3.59025e+02 |113  0.27182  1.44459e+03 |114  0.32790  2.71295e+03
115  0.31303  3.85425e+03 |116  0.20622  5.69411e+03 |117  0.71454 -1.34392e+02
118  0.09617 -1.65823e+02 |119 -0.40590 -3.74223e+02 |120 -0.36029 -1.57166e+02
121  0.11930 -1.92223e+02 |122  0.34653 -2.22462e+02 |123  0.23584 -1.52032e+02
124  0.54429 -5.28252e+02 |125  0.26489 -3.68692e+02 |126 -0.14691 -6.89389e+01
127 -0.46709 -1.15144e+02 |128 -0.67438  4.26505e+01 |129 -0.76771 -1.01320e+02
130 -0.54653 -1.30595e+02 |131 -0.00127 -1.20462e+02 |132  0.12132  5.53289e+01
133  0.08715  1.49627e+02 |134  0.11870  1.35039e+02 |135  0.72086  2.44926e+03
136 -0.58852 -2.74626e+01 |137 -0.19284 -4.97110e+01 |138  0.30184 -9.29704e+01
139  0.49012 -8.53028e+01 |140  0.45856 -3.56193e+01 |141  0.33374 -3.03107e+01
142  0.18132 -1.62943e+00 |143  0.12554 -4.67208e+01 |144  0.04108 -3.09981e+01
145 -0.03140  3.62454e+01 |146 -0.09310  1.71468e+01 |147 -0.12731  4.82055e+01
148 -0.13330  2.18415e+01 |149 -0.11455  2.30872e+01 |150 -0.09666  2.92735e+01
151 -0.09322  4.28728e+01 |152 -0.10928  4.25004e+01 |153 -0.14020  5.90785e+01
154 -0.21188  8.05397e+01 |
  ic > imax  in fminim is answer attained ?
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.52984  1.26809e+03 |  2  0.87278 -5.71596e+02 |  3 -0.32680  2.14624e+02
  4  0.58771 -3.23754e+02 |  5 20.42739  2.66618e+03 |  6  0.01752  3.13308e+03
  7 -0.49367 -2.03998e+02 |  8 -0.31806 -1.13331e+02 |  9 -0.02793  4.85380e+02
 10 -0.26336 -6.73240e+01 | 11  0.12497  1.17796e+04 | 12  0.13102  1.29675e+04
 13  0.11453  9.85289e+03 | 14  0.03020  1.58895e+03 | 15 -0.01766  6.00312e+02
 16  0.00830  9.02024e+02 | 17  0.08045  4.20802e+03 | 18  0.10572  8.58565e+03
 19  0.01453  1.47345e+03 | 20 -0.01283  1.06620e+03 | 21 -0.07453  3.57182e+02
 22 -0.01933  1.21436e+03 | 23 -0.01856  1.24550e+03 | 24  0.00761  2.26041e+03
 25  0.02180  2.86412e+03 | 26  0.02933  2.96821e+03 | 27  0.03517  2.95190e+03
 28  0.10669  1.21681e+04 | 29  0.08815  5.83972e+03 | 30  0.05725  1.61843e+03
 31  0.16042  7.57719e+03 | 32  0.14930 -1.79604e+03 | 33 -0.03286 -1.30162e+02
 34  0.09925 -3.67376e+03 | 35  0.09293 -3.82244e+03 | 36  0.07345 -2.40376e+03
 37  0.08816 -3.27733e+03 | 38 -0.00712 -2.99352e+02 | 39  0.22760 -5.11500e+04
 40  0.14524 -2.89734e+03 | 41 -0.09814 -9.98892e+01 | 42  0.13251  3.42688e+03
 43  0.12122  4.65139e+03 | 44  0.12032  4.61374e+03 | 45  0.07961  2.01996e+03
 46  0.08787  2.26265e+03 | 47  0.09828  2.90749e+03 | 48  0.13811  7.35928e+03
 49 -0.03028 -8.33228e+01 | 50  0.08437  2.38642e+03 | 51  0.04826  9.58124e+02
 52  0.01220  4.27366e+02 | 53  0.00962  3.99140e+02 | 54 -0.01058  2.59348e+02
 55  0.03270  1.00444e+03 | 56  0.04192  1.35747e+03 | 57  0.00327  4.18951e+02
 58 -0.06304  6.42168e+01 | 59 -0.00675  3.90661e+02 | 60  0.02061  7.69621e+02
 61  0.00602  6.03839e+02 | 62 -0.00775  4.61100e+02 | 63 -0.10290 -4.96208e+01
 64  0.00597  8.83820e+02 | 65  0.12490  1.35473e+04 | 66 -0.48261 -2.03686e+02
 67 -0.05881  1.94475e+02 | 68 -1.83337 -2.93704e+01 | 69 -1.86360 -6.74465e+01
 70 -0.40123 -1.67590e+02 | 71 -6.91131 -3.21249e+03 | 72  0.22907  2.73063e+02
 73  0.23001  3.00574e+03 | 74  0.21643  4.55018e+03 | 75  0.20977  6.53258e+03
 76  0.17471  1.76284e+03 | 77  0.04977  3.03620e+03 | 78  0.06171  3.34994e+03
 79 -0.03855  4.74746e+03 | 80 -0.18251  1.40878e+03 | 81 -0.24714  1.16592e+03
 82 -0.04589  8.76660e+02 | 83 -0.03291  1.38766e+03 | 84 -0.14079  1.72373e+03
 85 -0.05778 -1.11896e+04 | 86  0.07481 -7.27188e+03 | 87  0.10333 -6.17487e+03
 88  0.06371 -5.35987e+03 | 89  0.06183 -3.74248e+03 | 90  0.01062 -6.28497e+03
 91  0.05977 -1.13107e+03 | 92 -0.02067 -4.25385e+03 | 93 -0.02777  8.05299e+02
 94  0.04007  3.51084e+03 | 95  0.11515  6.64049e+02 | 96  0.10599  4.97228e+03
 97  0.12071  2.92145e+02 | 98  0.17687 -1.75537e+03 | 99  0.06857 -1.89896e+03
100  0.11176 -2.26830e+03 |101  0.17549 -2.17262e+03 |102  0.18340 -1.68495e+03
103  0.18593 -1.22349e+03 |104  0.17670 -1.19919e+03 |105  0.19098  3.77749e+02
106  0.24251 -1.25045e+03 |107  0.20019  1.42086e+03 |108  0.21776  4.31798e+02
109  0.32829  2.26218e+03 |110  0.23501 -1.35655e+03 |111  0.24934  2.30022e+02
112  0.30799 -1.13402e+03 |113  0.26910  1.10296e+03 |114  0.32682  2.83478e+03
115  0.30802  3.49004e+03 |116  0.20444  5.44653e+03 |117  0.74514 -1.76064e+02
118  0.11359 -2.08882e+02 |119 -0.49118 -3.94403e+02 |120 -0.49645 -1.73275e+02
121  0.18302 -2.12882e+02 |122  0.36002 -3.23853e+02 |123  0.24933 -2.91367e+02
124  0.61414 -6.87638e+02 |125  0.32087 -4.68402e+02 |126 -0.10606 -1.51554e+02
127 -0.46512 -1.50759e+02 |128 -0.71724  1.80836e+01 |129 -0.82028 -1.41211e+02
130 -0.58579 -1.68408e+02 |131  0.00143 -1.60823e+02 |132  0.12944 -2.95241e+01
133  0.07142  1.34902e+01 |134  0.13994  2.51785e+01 |135  0.75305  3.68250e+03
136 -0.73297 -1.65344e+01 |137 -0.23726 -9.79609e+01 |138  0.40188 -4.67402e+01
139  0.59008 -1.09412e+02 |140  0.55429 -2.35356e+01 |141  0.39896 -3.58038e+01
142  0.18169 -4.75858e+01 |143  0.11273 -5.18261e+01 |144  0.02962 -3.11060e+01
145 -0.03584  3.18236e+01 |146 -0.09495  2.42668e+01 |147 -0.13716  5.38825e+01
148 -0.14474  2.51210e+01 |149 -0.12967  2.72732e+01 |150 -0.11361  3.81959e+01
151 -0.11586  4.91748e+01 |152 -0.13632  4.31689e+01 |153 -0.16086  6.71572e+01
154 -0.23019  1.00537e+02 |
Function minimizer not making progress ... is minimum attained?
Minimprove criterion = 0.0000e+00

 - final statistics:
154 variables; iteration 109; function evaluation 180
Function value 9.7294e+03; maximum gradient component mag -5.1150e+04
Exit code = 1;  converg criter 1.0000e-03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.52984  1.26809e+03 |  2  0.87278 -5.71596e+02 |  3 -0.32680  2.14624e+02
  4  0.58771 -3.23754e+02 |  5 20.42739  2.66618e+03 |  6  0.01752  3.13308e+03
  7 -0.49367 -2.03998e+02 |  8 -0.31806 -1.13331e+02 |  9 -0.02793  4.85380e+02
 10 -0.26336 -6.73240e+01 | 11  0.12497  1.17796e+04 | 12  0.13102  1.29675e+04
 13  0.11453  9.85289e+03 | 14  0.03020  1.58895e+03 | 15 -0.01766  6.00312e+02
 16  0.00830  9.02024e+02 | 17  0.08045  4.20802e+03 | 18  0.10572  8.58565e+03
 19  0.01453  1.47345e+03 | 20 -0.01283  1.06620e+03 | 21 -0.07453  3.57182e+02
 22 -0.01933  1.21436e+03 | 23 -0.01856  1.24550e+03 | 24  0.00761  2.26041e+03
 25  0.02180  2.86412e+03 | 26  0.02933  2.96821e+03 | 27  0.03517  2.95190e+03
 28  0.10669  1.21681e+04 | 29  0.08815  5.83972e+03 | 30  0.05725  1.61843e+03
 31  0.16042  7.57719e+03 | 32  0.14930 -1.79604e+03 | 33 -0.03286 -1.30162e+02
 34  0.09925 -3.67376e+03 | 35  0.09293 -3.82244e+03 | 36  0.07345 -2.40376e+03
 37  0.08816 -3.27733e+03 | 38 -0.00712 -2.99352e+02 | 39  0.22760 -5.11500e+04
 40  0.14524 -2.89734e+03 | 41 -0.09814 -9.98892e+01 | 42  0.13251  3.42688e+03
 43  0.12122  4.65139e+03 | 44  0.12032  4.61374e+03 | 45  0.07961  2.01996e+03
 46  0.08787  2.26265e+03 | 47  0.09828  2.90749e+03 | 48  0.13811  7.35928e+03
 49 -0.03028 -8.33228e+01 | 50  0.08437  2.38642e+03 | 51  0.04826  9.58124e+02
 52  0.01220  4.27366e+02 | 53  0.00962  3.99140e+02 | 54 -0.01058  2.59348e+02
 55  0.03270  1.00444e+03 | 56  0.04192  1.35747e+03 | 57  0.00327  4.18951e+02
 58 -0.06304  6.42168e+01 | 59 -0.00675  3.90661e+02 | 60  0.02061  7.69621e+02
 61  0.00602  6.03839e+02 | 62 -0.00775  4.61100e+02 | 63 -0.10290 -4.96208e+01
 64  0.00597  8.83820e+02 | 65  0.12490  1.35473e+04 | 66 -0.48261 -2.03686e+02
 67 -0.05881  1.94475e+02 | 68 -1.83337 -2.93704e+01 | 69 -1.86360 -6.74465e+01
 70 -0.40123 -1.67590e+02 | 71 -6.91131 -3.21249e+03 | 72  0.22907  2.73063e+02
 73  0.23001  3.00574e+03 | 74  0.21643  4.55018e+03 | 75  0.20977  6.53258e+03
 76  0.17471  1.76284e+03 | 77  0.04977  3.03620e+03 | 78  0.06171  3.34994e+03
 79 -0.03855  4.74746e+03 | 80 -0.18251  1.40878e+03 | 81 -0.24714  1.16592e+03
 82 -0.04589  8.76660e+02 | 83 -0.03291  1.38766e+03 | 84 -0.14079  1.72373e+03
 85 -0.05778 -1.11896e+04 | 86  0.07481 -7.27188e+03 | 87  0.10333 -6.17487e+03
 88  0.06371 -5.35987e+03 | 89  0.06183 -3.74248e+03 | 90  0.01062 -6.28497e+03
 91  0.05977 -1.13107e+03 | 92 -0.02067 -4.25385e+03 | 93 -0.02777  8.05299e+02
 94  0.04007  3.51084e+03 | 95  0.11515  6.64049e+02 | 96  0.10599  4.97228e+03
 97  0.12071  2.92145e+02 | 98  0.17687 -1.75537e+03 | 99  0.06857 -1.89896e+03
100  0.11176 -2.26830e+03 |101  0.17549 -2.17262e+03 |102  0.18340 -1.68495e+03
103  0.18593 -1.22349e+03 |104  0.17670 -1.19919e+03 |105  0.19098  3.77749e+02
106  0.24251 -1.25045e+03 |107  0.20019  1.42086e+03 |108  0.21776  4.31798e+02
109  0.32829  2.26218e+03 |110  0.23501 -1.35655e+03 |111  0.24934  2.30022e+02
112  0.30799 -1.13402e+03 |113  0.26910  1.10296e+03 |114  0.32682  2.83478e+03
115  0.30802  3.49004e+03 |116  0.20444  5.44653e+03 |117  0.74514 -1.76064e+02
118  0.11359 -2.08882e+02 |119 -0.49118 -3.94403e+02 |120 -0.49645 -1.73275e+02
121  0.18302 -2.12882e+02 |122  0.36002 -3.23853e+02 |123  0.24933 -2.91367e+02
124  0.61414 -6.87638e+02 |125  0.32087 -4.68402e+02 |126 -0.10606 -1.51554e+02
127 -0.46512 -1.50759e+02 |128 -0.71724  1.80836e+01 |129 -0.82028 -1.41211e+02
130 -0.58579 -1.68408e+02 |131  0.00143 -1.60823e+02 |132  0.12944 -2.95241e+01
133  0.07142  1.34902e+01 |134  0.13994  2.51785e+01 |135  0.75305  3.68250e+03
136 -0.73297 -1.65344e+01 |137 -0.23726 -9.79609e+01 |138  0.40188 -4.67402e+01
139  0.59008 -1.09412e+02 |140  0.55429 -2.35356e+01 |141  0.39896 -3.58038e+01
142  0.18169 -4.75858e+01 |143  0.11273 -5.18261e+01 |144  0.02962 -3.11060e+01
145 -0.03584  3.18236e+01 |146 -0.09495  2.42668e+01 |147 -0.13716  5.38825e+01
148 -0.14474  2.51210e+01 |149 -0.12967  2.72732e+01 |150 -0.11361  3.81959e+01
151 -0.11586  4.91748e+01 |152 -0.13632  4.31689e+01 |153 -0.16086  6.71572e+01
154 -0.23019  1.00537e+02 |

Initial statistics: 157 variables; iteration 0; function evaluation 0; phase 5
Function value 9.4826415e+03; maximum gradient component mag -5.2485e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.52984  1.26811e+03 |  2  0.87278 -5.71575e+02 |  3 -0.32680  2.14635e+02
  4  0.58771 -3.23745e+02 |  5 20.42739  2.66598e+03 |  6  0.01059  1.95076e+03
  7 -0.50344 -1.03304e+03 |  8 -0.32598 -1.14403e+03 |  9 -0.03486 -6.96343e+02
 10 -0.27094 -1.14463e+03 | 11  0.11792  1.06413e+04 | 12  0.12396  1.18365e+04
 13  0.10750  8.70579e+03 | 14  0.02326  4.07232e+02 | 15 -0.02459 -5.82259e+02
 16  0.00137 -2.81140e+02 | 17  0.07347  3.03837e+03 | 18  0.09870  7.43198e+03
 19  0.00761  2.90546e+02 | 20 -0.01976 -1.16741e+02 | 21 -0.08151 -8.16847e+02
 22 -0.02626  3.16901e+01 | 23 -0.02549  6.28145e+01 | 24  0.00068  1.07723e+03
 25  0.01487  1.68211e+03 | 26  0.02240  1.78705e+03 | 27  0.02823  1.77154e+03
 28  0.09967  1.10216e+04 | 29  0.08116  4.67473e+03 | 30  0.05030  4.40416e+02
 31  0.15328  6.45122e+03 | 32  0.14218 -2.95452e+03 | 33 -0.03979 -1.31099e+03
 34  0.09225 -4.85047e+03 | 35  0.08593 -5.00086e+03 | 36  0.06648 -3.58330e+03
 37  0.08117 -4.45580e+03 | 38 -0.01405 -1.48223e+03 | 39  0.22022 -5.24851e+04
 40  0.13813 -4.06103e+03 | 41 -0.10516 -1.26684e+03 | 42  0.12544  2.27376e+03
 43  0.11417  3.49670e+03 | 44  0.11327  3.45871e+03 | 45  0.07264  8.47246e+02
 46  0.08089  1.09229e+03 | 47  0.09128  1.74165e+03 | 48  0.13102  6.21821e+03
 49 -0.03722 -1.26450e+03 | 50  0.07739  1.21521e+03 | 51  0.04132 -2.21982e+02
 52  0.00528 -7.55946e+02 | 53  0.00269 -7.84179e+02 | 54 -0.01751 -9.23566e+02
 55  0.02577 -1.77665e+02 | 56  0.03498  1.76579e+02 | 57 -0.00365 -7.64352e+02
 58 -0.07000 -1.11193e+03 | 59 -0.01368 -7.92371e+02 | 60  0.01368 -4.13092e+02
 61 -0.00091 -5.79352e+02 | 62 -0.01468 -7.21907e+02 | 63 -0.10993 -1.21516e+03
 64 -0.00096 -2.99289e+02 | 65  0.11784  1.24126e+04 | 66 -0.49222 -1.04758e+03
 67 -0.06577 -9.82667e+02 | 68 -0.17381 -1.11014e+03 | 69 -0.14350 -1.08601e+03
 70 -0.40985 -1.11230e+03 | 71 -6.91131 -3.21267e+03 | 72  0.22623  2.23611e+02
 73  0.22716  2.96154e+03 | 74  0.21361  4.50821e+03 | 75  0.20695  6.49067e+03
 76  0.17194  1.71430e+03 | 77  0.04710  2.98496e+03 | 78  0.05903  3.29945e+03
 79 -0.04123  4.69508e+03 | 80 -0.18530  1.35555e+03 | 81 -0.25002  1.11408e+03
 82 -0.04857  8.24856e+02 | 83 -0.03558  1.33210e+03 | 84 -0.14352  1.67267e+03
 85 -0.06046 -1.12387e+04 | 86  0.07212 -7.32852e+03 | 87  0.10063 -6.22885e+03
 88  0.06103 -5.41422e+03 | 89  0.05915 -3.79575e+03 | 90  0.00795 -6.33952e+03
 91  0.05709 -1.18513e+03 | 92 -0.02334 -4.30681e+03 | 93 -0.03044  7.52859e+02
 94  0.03740  3.45753e+03 | 95  0.11243  6.14044e+02 | 96  0.10329  4.92328e+03
 97  0.11799  2.41707e+02 | 98  0.17410 -1.80546e+03 | 99  0.06589 -1.95537e+03
100  0.10905 -2.32031e+03 |101  0.17272 -2.22641e+03 |102  0.18062 -1.74039e+03
103  0.18315 -1.27368e+03 |104  0.17393 -1.25058e+03 |105  0.18819  3.26647e+02
106  0.23964 -1.30289e+03 |107  0.19739  1.37183e+03 |108  0.21493  3.81330e+02
109  0.32522  2.22214e+03 |110  0.23215 -1.40960e+03 |111  0.24646  1.83830e+02
112  0.30498 -1.18349e+03 |113  0.26618  1.05738e+03 |114  0.32376  2.79670e+03
115  0.30501  3.45196e+03 |116  0.20163  5.40251e+03 |117  0.74514  9.34818e+01
118  0.11359 -6.55120e+01 |119 -0.49118 -3.16022e+02 |120 -0.49645 -9.54049e+01
121  0.18302 -5.91718e+01 |122  0.36002 -1.40847e+02 |123  0.24933 -1.27688e+02
124  0.61414 -4.52201e+02 |125  0.32087 -2.93279e+02 |126 -0.10606 -3.74911e+01
127 -0.46512 -7.10955e+01 |128 -0.71724  7.97890e+01 |129 -0.82028 -8.55479e+01
130 -0.58579 -9.80866e+01 |131  0.00143 -3.47273e+01 |132  0.12944  1.14022e+02
133  0.07142  1.48663e+02 |134  0.13994  1.69821e+02 |135  0.75305  1.27151e+03
136 -0.73297 -8.76305e+01 |137 -0.23726 -2.14672e+02 |138  0.40188 -2.67747e+02
139  0.59008  2.80897e+03 |140  0.55429 -2.81031e+02 |141  0.39896 -2.56410e+02
142  0.18169 -2.25074e+02 |143  0.11273 -2.17444e+02 |144  0.02962 -1.83534e+02
145 -0.03584 -1.10947e+02 |146 -0.09495 -1.10277e+02 |147 -0.13716 -7.51306e+01
148 -0.14474 -1.02904e+02 |149 -0.12967 -1.02695e+02 |150 -0.11361 -9.38935e+01
151 -0.11586 -8.26028e+01 |152 -0.13632 -8.59489e+01 |153 -0.16086 -5.88300e+01
154 -0.23019 -2.52101e+02 |155 -0.42263  4.88665e+01 |156 -0.40646  3.37873e+01
157 -0.37499 -2.12027e-06 |

Intermediate statistics: 157 variables; iteration 20; function evaluation 28; phase 5
Function value 2.0054319e+03; maximum gradient component mag 3.4049e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.92823  7.70681e+01 |  2  1.04703  2.85027e+01 |  3 -0.42671  5.94042e+02
  4  0.68758  6.80101e+01 |  5 20.12312  4.29763e+03 |  6  0.03265  1.52554e+03
