,metric,Estimate,Std. Error
,log_index_hat.4,14.32062949,0.035516988
,log_index_hat.5,14.34021052,0.035107872
,log_index_hat.6,14.33040648,0.03446759
,log_index_hat.7,14.30107992,0.033965872
,log_index_hat.8,14.24661351,0.032595346
,log_index_hat.9,14.16464917,0.031443226
,log_index_hat.10,14.08364742,0.031510021
,log_index_hat.11,14.03776578,0.032557037
,log_index_hat.12,14.01522677,0.034593824
,log_index_hat.13,14.02886826,0.038836686
,log_index_hat.14,14.05281485,0.047366812
